Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,108.383615213,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,102.4862338,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,97.7024274565,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,94.5085938726,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553709206,0.0,1.75125,1.16428709206
 01/01  05:00:00,98.9287195167,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,97.2744383738,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,134.542271224,25.4178222887,0.0,0.0,6.98738001645,14.1499734587,248.504217624,243.83741718,3.5025,1.16430044389
 01/01  08:00:00,137.267437829,25.4178222887,0.0,0.0,6.98738001645,14.1499734587,251.920638405,248.398138405,3.5025,0.02
 01/01  09:00:00,168.0233049,25.4178222887,0.0,0.0,6.98738001645,14.1499734587,206.92390305,202.257059877,3.5025,1.16434317252
 01/01  10:00:00,152.593395911,25.4178222887,0.0,0.0,6.98738001645,14.1499734587,152.559352421,149.036852421,3.5025,0.02
 01/01  11:00:00,196.246896789,25.4178222887,0.241072950765,0.0,27.9495200658,27.7759469175,98.4394585691,90.2697846711,7.005,1.16467389797
 01/01  12:00:00,230.946815597,25.4178222887,0.753647701273,0.0,27.9495200658,27.7759469175,62.9508916616,55.9258916616,7.005,0.02
 01/01  13:00:00,248.57875313,25.4178222887,1.91073870874,0.0,41.9242800987,36.8599292233,45.1168785504,34.6120467364,9.34,1.16483181403
 01/01  14:00:00,249.468980759,25.4178222887,2.36924355051,0.0,41.9242800987,36.8599292233,42.457005514,31.952226108,9.34,1.16477940598
 01/01  15:00:00,244.633397758,25.4178222887,2.69244179148,0.0,41.9242800987,36.8599292233,34.9276798167,24.4230096893,9.34,1.16467012735
 01/01  16:00:00,240.945827828,25.4178222887,2.94478836681,0.0,41.9242800987,36.8599292233,30.4538067871,21.0938067871,9.34,0.02
 01/01  17:00:00,239.334631656,25.4178222887,2.86157735619,0.0,41.9242800987,36.8599292233,40.2592165844,29.7543872514,9.34,1.16482933296
 01/01  18:00:00,216.933645818,25.4178222887,1.21680788926,0.0,27.9495200658,27.7759469175,69.9720851857,61.8023665393,7.005,1.16471864636
 01/01  19:00:00,220.407113307,25.4178222887,0.469252248189,0.0,13.9747600329,18.6919646116,90.9730615231,86.2830615231,4.67,0.02
 01/01  20:00:00,205.271513952,25.4178222887,0.348151228019,0.0,13.9747600329,18.6919646116,99.4121874146,93.5776383008,4.67,1.16454911382
 01/01  21:00:00,193.792425349,25.4178222887,0.290485212726,0.0,13.9747600329,18.6919646116,101.768659782,95.9341999045,4.67,1.16445987792
 01/01  22:00:00,173.351021378,25.4178222887,0.260728136442,0.0,13.9747600329,18.6919646116,59.8373744906,55.1473744906,4.67,0.02
 01/01  23:00:00,115.267338078,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,146.759097101,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554779997,0.0,1.75125,1.16429779997
 01/02  01:00:00,124.338876005,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,115.418770739,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,115.429346454,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924590498,0.0,2.335,1.16424590498
 01/02  04:00:00,115.628912371,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,122.980062647,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,122.420978023,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,172.861080985,25.4178222887,0.00576799490479,0.0,13.9747600329,18.6919646116,94.4471307533,88.6129052556,4.67,1.16422549777
 01/02  08:00:00,181.247096192,25.4178222887,0.0,0.0,13.9747600329,18.6919646116,107.549518759,102.859518759,4.67,0.02
 01/02  09:00:00,253.584396025,25.4178222887,1.02573050828,0.0,34.9369000822,32.3179380704,89.9677397756,80.6307194654,8.1725,1.16452031012
 01/02  10:00:00,285.984347242,25.4178222887,2.46486951764,0.0,62.886420148,41.4019203762,57.8879306886,47.3604306886,10.5075,0.02
 01/02  11:00:00,286.488590515,25.4178222887,3.56601640044,0.0,62.886420148,41.4019203762,31.3148335607,19.6425034014,10.5075,1.16483015927
 01/02  12:00:00,307.563890156,25.4178222887,4.20309273247,0.0,62.886420148,41.4019203762,12.7832041359,1.11049426457,10.5075,1.16520987135
 01/02  13:00:00,297.657894893,25.4178222887,4.42758974014,0.0,62.886420148,41.4019203762,11.6726157986,0.0,10.5075,1.16511579863
 01/02  14:00:00,298.269700486,25.4178222887,4.90263818934,0.0,62.886420148,41.4019203762,12.8178029122,0.0,10.5075,2.31030291216
 01/02  15:00:00,293.18275436,25.4178222887,5.33827391903,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/02  16:00:00,287.904755794,25.4178222887,5.4327932133,0.0,62.886420148,41.4019203762,11.6725087579,0.0,10.5075,1.1650087579
 01/02  17:00:00,285.871664199,25.4178222887,5.22557140982,0.0,62.886420148,41.4019203762,11.6724236052,0.0,10.5075,1.1649236052
 01/02  18:00:00,291.0685864,25.4178222887,4.42536706419,0.0,62.886420148,41.4019203762,19.5704259606,7.89807373512,10.5075,1.16485222546
 01/02  19:00:00,285.556735687,25.4178222887,3.22229056068,0.0,41.9242800987,36.8599292233,41.1085970381,30.603718873,9.34,1.16487816517
 01/02  20:00:00,272.202958564,25.4178222887,2.72703463824,0.0,41.9242800987,36.8599292233,57.0502109664,46.5454836127,9.34,1.16472735367
 01/02  21:00:00,246.365217596,25.4178222887,1.91387915733,0.0,34.9369000822,32.3179380704,63.7914218541,55.5989218541,8.1725,0.02
 01/02  22:00:00,176.611664439,25.4178222887,0.603473959522,0.0,13.9747600329,18.6919646116,36.9859323728,31.1513383495,4.67,1.16459402327
 01/02  23:00:00,120.176450476,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,151.936718972,0.0,0.0,0.0,3.49369000822,9.08398230582,3.499300169,0.0,2.335,1.164300169
